Game,Console,Name,Publisher,Developer,Total Shipped,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Last Update,rating,ratings_count,metacritic,genres,platforms,Publisher_clean
PS4_ACA NEOGEO SHOCK TROOPERS,PS4,ACA NEOGEO SHOCK TROOPERS,Hamster Corporation,SNK Corporation,0,0,0,0,0,0,25/01/2018,28/03/2018,0,0,,"Arcade, Action","Xbox One, PlayStation 4, Nintendo Switch",hamster
PS4_ACA NEOGEO REAL BOUT FATAL FURY SPECIAL,PS4,ACA NEOGEO REAL BOUT FATAL FURY SPECIAL,Hamster Corporation,SNK Corporation,0,0,0,0,0,0,08/01/2018,29/03/2018,,,,,,hamster
PS4_ACA NEOGEO ROBO ARMY,PS4,ACA NEOGEO ROBO ARMY,Hamster Corporation,SNK Corporation,0,0,0,0,0,0,19/10/2017,04/04/2018,0,1,,Arcade,"Xbox One, PlayStation 4, Nintendo Switch",hamster
PS4_ACA NEOGEO SAMURAI SHODOWN,PS4,ACA NEOGEO SAMURAI SHODOWN,Hamster Corporation,SNK Corporation,0,0,0,0,0,0,09/12/2016,30/03/2018,0,3,,Fighting,"Xbox One, PlayStation 4, Nintendo Switch",hamster
PS4_ACA NEOGEO SAMURAI SHODOWN II,PS4,ACA NEOGEO SAMURAI SHODOWN II,Hamster Corporation,SNK Corporation,0,0,0,0,0,0,11/10/2017,30/03/2018,0,1,,Arcade,"Xbox One, PlayStation 4, Nintendo Switch",hamster
PS4_ACA NEOGEO SAMURAI SHODOWN III,PS4,ACA NEOGEO SAMURAI SHODOWN III,Hamster Corporation,SNK Corporation,0,0,0,0,0,0,19/04/2018,05/08/2018,0,0,,"Action, Fighting","Xbox One, PlayStation 4, Nintendo Switch",hamster
PS4_ACA NEOGEO SAMURAI SHODOWN IV,PS4,ACA NEOGEO SAMURAI SHODOWN IV,Hamster Corporation,SNK Corporation,0,0,0,0,0,0,08/06/2018,05/08/2018,0,1,,"Arcade, Fighting","Xbox One, PlayStation 4, Nintendo Switch",hamster
PS4_ACA NEOGEO SENGOKU,PS4,ACA NEOGEO SENGOKU,Hamster Corporation,SNK Corporation,0,0,0,0,0,0,16/03/2017,03/04/2018,0,2,,Arcade,"Xbox One, PlayStation 4, Nintendo Switch",hamster
PS4_ACA NEOGEO SENGOKU 2,PS4,ACA NEOGEO SENGOKU 2,Hamster Corporation,SNK Corporation,0,0,0,0,0,0,15/06/2017,04/04/2018,,,,,,hamster
PS4_ACA NEOGEO SENGOKU 3,PS4,ACA NEOGEO SENGOKU 3,Hamster Corporation,SNK Corporation,0,0,0,0,0,0,13/06/2018,05/08/2018,0,1,,Action,"Xbox One, PlayStation 4, Nintendo Switch",hamster
PS4_ACA NEOGEO SHOCK TROOPERS 2nd Squad,PS4,ACA NEOGEO SHOCK TROOPERS 2nd Squad,Hamster Corporation,SNK Corporation,0,0,0,0,0,0,06/06/2018,05/08/2018,0,0,,"Shooter, Action","Xbox One, PlayStation 4, Nintendo Switch",hamster
PS4_ACA NEOGEO FATAL FURY 3,PS4,ACA NEOGEO FATAL FURY 3,Hamster Corporation,SNK Corporation,0,0,0,0,0,0,31/08/2017,29/03/2018,0,0,,Fighting,"Xbox One, PlayStation 4, Nintendo Switch",hamster
PS4_ACA NEOGEO SOCCER BRAWL,PS4,ACA NEOGEO SOCCER BRAWL,Hamster Corporation,SNK Corporation,0,0,0,0,0,0,07/12/2017,28/03/2018,0,0,,Sports,"Xbox One, PlayStation 4, Nintendo Switch",hamster
PS4_ACA NEOGEO SPIN MASTER,PS4,ACA NEOGEO SPIN MASTER,Hamster Corporation,Data East,0,0,0,0,0,0,14/09/2017,03/04/2018,0,0,,Arcade,"Xbox One, PlayStation 4, Nintendo Switch",hamster
PS4_ACA NEOGEO STAKES WINNER,PS4,ACA NEOGEO STAKES WINNER,Hamster Corporation,SNK Corporation,0,0,0,0,0,0,08/06/2018,05/08/2018,0,0,,"Racing, Arcade, Simulation, Sports","Xbox One, PlayStation 4, Nintendo Switch",hamster
PS4_ACA NEOGEO STREET HOOP,PS4,ACA NEOGEO STREET HOOP,Hamster Corporation,Data East,0,0,0,0,0,0,09/11/2017,04/04/2018,0,0,,"Arcade, Sports","Xbox One, PlayStation 4, Nintendo Switch",hamster
PS4_ACA NEOGEO SUPER SIDEKICKS,PS4,ACA NEOGEO SUPER SIDEKICKS,Hamster Corporation,SNK Corporation,0,0,0,0,0,0,28/07/2017,03/04/2018,0,0,,Sports,"Xbox One, PlayStation 4, Nintendo Switch",hamster
PS4_ACA NEOGEO SUPER SIDEKICKS 2,PS4,ACA NEOGEO SUPER SIDEKICKS 2,Hamster Corporation,SNK Corporation,0,0,0,0,0,0,08/06/2018,05/08/2018,0,1,,"Simulation, Sports","Xbox One, PlayStation 4, Nintendo Switch",hamster
PS4_ACA NEOGEO THE KING OF FIGHTERS '94,PS4,ACA NEOGEO THE KING OF FIGHTERS '94,Hamster Corporation,SNK Corporation,0,0,0,0,0,0,27/10/2016,29/03/2018,0,2,,,"Xbox One, PlayStation 4, Nintendo Switch",hamster
PS4_ACA NEOGEO THE KING OF FIGHTERS '95,PS4,ACA NEOGEO THE KING OF FIGHTERS '95,Hamster Corporation,SNK Corporation,0,0,0,0,0,0,11/05/2017,29/03/2018,0,1,,Fighting,"Xbox One, PlayStation 4, Nintendo Switch",hamster
